frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,aspect_ratio
1930,101,866,523,969,693,0.8911632895469666,0,917,693,-2.6622655391693115,5.408600807189941,WALKWAY_1,1.6504854368932038
1930,69,728,496,839,721,0.7928740382194519,0,783,721,-1.6352323293685913,5.891186714172363,WALKWAY_1,2.027027027027027
1930,62,634,634,811,1130,0.8768848180770874,0,722,1130,-4.842746257781982,7.528258323669434,WALKWAY_14,2.8022598870056497
1930,108,1583,322,1705,524,0.5348948836326599,0,1644,524,-3.0871782302856445,1.3771262168884277,WALKWAY_28,1.6557377049180328
1930,103,233,669,392,1012,0.5836649537086487,0,312,1012,-1.2955477237701416,8.620243072509766,WALKWAY_9,2.157232704402516
1930,102,753,393,789,470,0.6171526312828064,0,771,470,4.4994001388549805,1.7515065670013428,WALKWAY_29,2.138888888888889
1930,105,481,420,522,519,0.5461757183074951,0,501,519,8.249106407165527,3.955122947692871,WALKWAY_26,2.4146341463414633
1931,7,1459,310,1568,510,0.8962810635566711,0,1513,510,-2.515394687652588,1.8641408681869507,WALKWAY_28,1.834862385321101
1931,79,632,442,708,552,0.6965935826301575,0,670,552,2.691991090774536,4.240825653076172,WALKWAY_25,1.4473684210526316
1931,101,865,523,969,694,0.8881714344024658,0,917,694,-2.696169853210449,5.417305946350098,WALKWAY_1,1.6442307692307692
1931,69,728,497,838,721,0.782974123954773,0,783,721,-1.6288732290267944,5.889840602874756,WALKWAY_1,2.036363636363636
1931,62,635,634,812,1130,0.875984787940979,0,723,1130,-4.848019123077393,7.526519775390625,WALKWAY_14,2.8022598870056497
1931,108,1583,322,1705,524,0.523831307888031,0,1644,524,-3.0871782302856445,1.3771262168884277,WALKWAY_28,1.6557377049180328
1931,102,754,393,789,470,0.5926933288574219,0,771,470,4.4994001388549805,1.7515065670013428,WALKWAY_29,2.2
1931,105,480,421,521,520,0.5111778378486633,0,500,520,8.206205368041992,3.9747395515441895,WALKWAY_26,2.4146341463414633
1932,7,1460,310,1568,510,0.893599271774292,0,1514,510,-2.518463611602783,1.860828161239624,WALKWAY_28,1.8518518518518519
1932,79,632,442,708,552,0.6523404717445374,0,670,552,2.691991090774536,4.240825653076172,WALKWAY_25,1.4473684210526316
1932,101,866,523,970,693,0.8862993717193604,0,918,693,-2.683687210083008,5.408839225769043,WALKWAY_1,1.6346153846153846
1932,69,728,496,838,720,0.7923964858055115,0,783,720,-1.5947418212890625,5.88261604309082,WALKWAY_1,2.036363636363636
1932,62,634,634,811,1130,0.8774941563606262,0,722,1130,-4.842746257781982,7.528258323669434,WALKWAY_14,2.8022598870056497
1932,108,1583,322,1705,524,0.5359030365943909,0,1644,524,-3.0871782302856445,1.3771262168884277,WALKWAY_28,1.6557377049180328
1932,102,754,394,789,470,0.5633638501167297,0,771,470,4.4994001388549805,1.7515065670013428,WALKWAY_29,2.1714285714285713
1932,105,479,422,522,523,0.6037447452545166,0,500,523,8.011268615722656,4.0268330574035645,WALKWAY_26,2.3488372093023258
1932,104,451,484,481,544,0.5376760959625244,0,466,544,7.41567850112915,4.457722187042236,WALKWAY_26,2.0
1933,7,1459,310,1568,510,0.8958104252815247,0,1513,510,-2.515394687652588,1.8641408681869507,WALKWAY_28,1.834862385321101
1933,79,632,443,708,552,0.627662181854248,0,670,552,2.691991090774536,4.240825653076172,WALKWAY_25,1.4342105263157894
1933,101,868,523,970,692,0.9016562700271606,0,919,692,-2.6519320011138916,5.395401477813721,WALKWAY_1,1.6568627450980393
1933,69,728,495,839,722,0.7998102307319641,0,783,722,-1.656974196434021,5.895788669586182,WALKWAY_1,2.045045045045045
1933,62,633,633,811,1130,0.8791408538818359,0,722,1130,-4.842746257781982,7.528258323669434,WALKWAY_14,2.792134831460674
1933,108,1583,322,1705,524,0.5570884346961975,0,1644,524,-3.0871782302856445,1.3771262168884277,WALKWAY_28,1.6557377049180328
1933,102,753,394,788,470,0.5554993748664856,0,770,470,4.519050598144531,1.7524075508117676,WALKWAY_29,2.1714285714285713
1933,105,477,422,520,525,0.5932681560516357,0,498,525,7.926274299621582,4.065759658813477,WALKWAY_26,2.395348837209302
